timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584670;0,161609|-0,131083|10,034698;0,000666|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,152630|-0,136469|10,038289;0,000133|-0,000533|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,153229|-0,137667|10,035894;0,000533|0,000533|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,152630|-0,132878|10,031705;0,000399|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,154426|-0,134674|10,037690;0,001198|-0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,152032|-0,145448|10,033501;0,000000|0,000799|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,161010|-0,128688|10,026318;-0,000799|-0,000133|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,155623|-0,138265|10,035894;0,000133|0,000799|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,158017|-0,138265|10,029909;0,000399|0,000666|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,149638|-0,140061|10,044873;-0,000666|-0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,154426|-0,144251|10,044873;-0,000799|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,159214|-0,129287|10,031705;0,000666|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,155623|-0,125097|10,037092;0,000133|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,159214|-0,131083|10,029311;-0,000399|0,000266|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,141856|-0,134674|10,037092;0,000533|-0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,155025|-0,146645|10,048465;-0,000133|-0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,155025|-0,131083|10,023325;0,000133|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584671;0,154426|-0,136469|10,050260;0,000266|-0,000266|0,001198;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,159813|-0,138864|10,025720;-0,000133|0,000000|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,159214|-0,129287|10,028712;-0,000932|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,160412|-0,141258|10,029909;0,000533|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,155623|-0,127491|10,047267;0,000133|-0,000399|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,157419|-0,135871|10,038888;0,000000|-0,000266|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,155623|-0,133477|10,039486;0,000133|-0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,149638|-0,135272|10,038289;0,000266|0,000266|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,155623|-0,146046|10,031705;-0,001198|-0,000799|-0,001332;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,151433|-0,143054|10,037092;-0,000133|-0,000266|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584672;0,150835|-0,145448|10,038289;0,000133|0,000533|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,151433|-0,128090|10,026917;-0,000133|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,168791|-0,126893|10,038289;0,000000|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,159813|-0,140061|10,046070;-0,000399|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,152630|-0,131083|10,035296;0,001065|0,000799|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,160412|-0,141258|10,034100;0,000000|0,000533|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,152630|-0,143652|10,042479;-0,000399|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,156222|-0,141258|10,037690;-0,000266|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,161010|-0,132878|10,027515;-0,000399|-0,000399|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,147842|-0,132280|10,040085;-0,000666|-0,000399|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584673;0,153827|-0,135272|10,034698;0,000799|-0,000666|-0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,150236|-0,129287|10,036493;-0,000266|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,150835|-0,139462|10,035296;-0,001065|0,000000|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,142455|-0,132878|10,021529;0,000399|-0,000932|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,157419|-0,137068|10,038888;-0,000133|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,151433|-0,128090|10,023924;-0,000133|0,000666|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,152630|-0,130484|10,040085;0,000266|0,000399|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,150236|-0,138265|10,039486;0,000133|-0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584674;0,164601|-0,132280|10,043077;0,000399|-0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
