timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584333;0,145448|-0,138864|10,046669;0,000000|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584333;0,150835|-0,146645|10,035296;0,000000|-0,000266|0,001731;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584333;0,147842|-0,144251|10,037690;0,000000|-0,000399|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584333;0,150236|-0,142455|10,033501;0,000000|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584333;0,145448|-0,142455|10,036493;-0,001065|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,156820|-0,150236|10,044274;-0,001198|-0,000799|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,143054|-0,138864|10,031106;-0,001198|0,000266|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,149638|-0,147243|10,037092;-0,000399|-0,000266|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,143652|-0,131681|10,031106;0,000666|0,000000|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,151433|-0,147243|10,040683;0,000133|0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,140659|-0,144849|10,042479;-0,000133|-0,000533|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,147842|-0,147842|10,043676;-0,000932|0,000266|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,153827|-0,132878|10,029311;-0,000133|0,000266|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,152032|-0,147842|10,046070;-0,000266|-0,000533|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584334;0,144251|-0,138864|10,031106;-0,000133|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,144849|-0,144849|10,036493;0,000266|-0,000666|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,156222|-0,138265|10,031705;0,000133|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,141856|-0,138265|10,031106;-0,000266|0,000266|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,159813|-0,143652|10,033501;0,000666|-0,000133|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,146046|-0,137068|10,036493;-0,000533|-0,000133|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,156222|-0,137667|10,040085;-0,000133|-0,000133|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,147243|-0,140061|10,040085;0,000000|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,155623|-0,146645|10,037092;0,000133|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584335;0,153827|-0,140061|10,030508;0,000399|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
