timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743036370;0,121506|-0,085593|10,028712;0,000266|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,121506|-0,097564|10,043077;-0,000266|-0,000666|-0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,125097|-0,081403|10,034100;-0,000133|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,125696|-0,093374|10,034698;0,000000|-0,000799|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,135871|-0,094571|10,029909;0,000266|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,130484|-0,090381|10,029311;-0,000266|0,000266|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,126893|-0,096367|10,033501;0,000000|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,116717|-0,090980|10,030508;0,000133|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,121506|-0,076016|10,027515;0,001332|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,122703|-0,084994|10,032304;0,000000|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036371;0,128090|-0,092177|10,025720;-0,000133|0,000266|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,133477|-0,092775|10,031705;0,000932|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,126893|-0,086790|10,036493;-0,000666|0,000266|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,128688|-0,090381|10,029311;0,000133|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,123301|-0,092177|10,033501;0,000666|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,129287|-0,084994|10,007164;0,000000|0,000000|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,126294|-0,093374|10,036493;0,000133|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,125097|-0,088585|10,035894;0,000000|0,000133|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,126893|-0,082001|10,028113;0,000133|-0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,123900|-0,083199|10,035894;-0,000666|0,000266|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036372;0,116717|-0,092775|10,031106;-0,000399|0,000000|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,134674|-0,088585|10,028113;-0,000266|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,132878|-0,090381|10,032304;0,000799|-0,000399|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,127491|-0,088585|10,029909;0,000133|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,127491|-0,095170|10,022727;0,000000|0,000399|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,129885|-0,090381|10,018537;-0,000266|0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,128090|-0,095768|10,029311;0,000000|0,000000|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,136469|-0,098761|10,017340;0,000399|0,000799|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,132878|-0,082001|10,025121;0,000533|-0,000399|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,127491|-0,080206|10,023325;0,000266|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036373;0,121506|-0,088585|10,025121;0,000266|-0,000533|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,131083|-0,096367|10,025121;-0,000399|0,001065|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,132280|-0,086191|10,041881;0,000666|-0,000666|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,126893|-0,089184|10,039486;-0,000533|0,000666|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,128688|-0,083797|10,028712;0,000533|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,129885|-0,088585|10,035296;0,000000|0,000000|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,124498|-0,098162|10,027515;0,000533|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,127491|-0,089184|10,023325;-0,000399|0,000266|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,121506|-0,080804|10,029909;0,000000|-0,000932|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,126294|-0,095768|10,026917;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036374;0,125696|-0,087388|10,025720;-0,000266|0,000533|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,126294|-0,084396|10,021529;0,000000|0,000133|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,124498|-0,101754|10,026318;0,000799|0,000000|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,130484|-0,077213|10,026318;0,000399|0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,113725|-0,089184|10,020931;0,000399|-0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,122104|-0,088585|10,041881;-0,000666|0,000000|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,116119|-0,076016|10,020931;-0,000133|0,001198|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,122703|-0,086790|10,037092;-0,000533|-0,000533|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,120309|-0,098162|10,028113;0,000133|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,125696|-0,082600|10,045471;0,000266|0,000000|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036375;0,126893|-0,085593|10,029909;0,000533|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,140061|-0,088585|10,011952;-0,000666|-0,000133|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,119710|-0,079009|10,020931;0,001332|-0,000266|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,130484|-0,084994|10,019734;-0,000666|0,000399|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
